Argument ID	Part	Usage	Conclusion	Stance	Premise
A01001	usa	train	Entrapment should be legalized	in favor of	if entrapment can serve to more easily capture wanted criminals, then why shouldn't it be legal?
A01002	usa	train	We should ban human cloning	in favor of	we should ban human cloning as it will only cause huge issues when you have a bunch of the same humans running around all acting the same.
A01003	usa	train	We should abandon marriage	against	marriage is the ultimate commitment to someone, if people want it they should be allowrd
A01004	usa	train	We should ban naturopathy	against	it provides a useful income for some people
A01005	usa	train	We should ban fast food	in favor of	fast food should be banned because it is really bad for your health and is costly.
A01006	usa	train	We should end the use of economic sanctions	against	sometimes economic sanctions are the only thing that will get the corrupt governments to take action
A01007	usa	train	We should abolish capital punishment	against	capital punishment is sometimes the only option to keep criminals from committing more crimes.
A01008	usa	train	We should ban factory farming	against	factory farming allows for the production of cheap food, which is a necessity for families surviving on a low income.
A01009	usa	train	We should fight for the abolition of nuclear weapons	against	nuclear weapons help keep the peace in uncertain times
A01010	usa	train	We should prohibit school prayer	against	it should be allowed if the student wants to pray as long as it is not interfering with his classes
A01011	usa	train	We should abolish the three-strikes laws	in favor of	three strike laws can cause young people to be put away for life without a chance to straight out their life
A01012	usa	train	The use of public defenders should be mandatory	in favor of	the use of public defenders should be mandatory because some people don't have money for a lawyer and this would help those that don't
A01013	usa	train	We should ban naturopathy	in favor of	Naturopathic medicine doesn't have to pass any safety trials, so it can often be dangerous and cause allergic reactions.
A01014	usa	train	We should adopt an austerity regime	against	adopting austerity regime will have very negative impact on the poor and the vulnerable in society.
A01015	usa	train	We should adopt an austerity regime	in favor of	we should adopt an austerity regime because it is unfair to expect future generations to settle the debts that we run up
A01016	usa	train	We should adopt gender-neutral language	against	gender neutral language is just another way to try to please a group.  we have two sexes, men and women and they should be differentiate by the use of words.
A01017	usa	train	We should end affirmative action	in favor of	affirmative action is no longer necessary as more minorities are able to prove to employers that they are worthy workers.
A01018	usa	train	We should end the use of economic sanctions	against	economic sanctions provide a non-military sanction to use against countries.
A01019	usa	train	We should ban factory farming	in favor of	factory farming cuts too many health and safety corners as opposed to smaller family farms, this leads to potentially unsafe and unhealthy products.
A01020	usa	train	We should subsidize journalism	in favor of	It is important for news organizations to transfer to new forms of media, like the internet, but it is costly and requires subsidization.
A02001	usa	train	Payday loans should be banned	in favor of	payday loans create a more impoverished society with their crazy payback rates.
A02002	usa	train	Surrogacy should be banned	against	Surrogacy should not be banned as it is the woman's right to choose if she wishes to do this for another couple and be compensated.
A02003	usa	train	We should cancel pride parades	against	there are parades for every group and it is discrimination not to give gays their parade
A02004	usa	train	We should ban cosmetic surgery for minors	in favor of	children have not grown and truly formed their adult looks.   cosmetic surgery for a child should be banned until as an adult the child can make a informed choice over their bodies not a whim of a child.
A02005	usa	train	We should legalize prostitution	in favor of	we should legalize prostitution because it will be regulated meaning the females will be safer
A02006	usa	train	We should subsidize embryonic stem cell research	in favor of	embryonic stem cell research should be subsidized because it may lead to the development of treatments for a number of serious medical conditions.
A02007	usa	train	We should ban algorithmic trading	in favor of	algorithms may not be 100% accurate and reflect the situation in the real market
A02008	usa	train	We should legalize organ trade	in favor of	We should legalize the organ trade because currently people are punished for obeying the law and not purchasing organs, in the form of longer wait times.
A02009	usa	train	Entrapment should be legalized	against	entrapment is gravely immoral and against human rights to coerce someone into a crime
A02010	usa	train	We should legalize cannabis	against	if you start legalizing drugs it could open up the floodgates for more legalization of dangerous drugs.
A02011	usa	train	We should fight for the abolition of nuclear weapons	in favor of	nuclear weapons pose too serious a threat to our world.  we must abolish them now.
A02012	usa	train	We should ban telemarketing	in favor of	telemarketing doesn't differentiate between people who are interested in being called and those who aren't
A02013	usa	train	We should prohibit school prayer	in favor of	school prayer cannot account for the array of beliefs or non-beliefs students may hold.
A02014	usa	train	We should abolish the right to keep and bear arms	against	we should not abolish the right to keep and bear arms as everyone has a right to keep guns as a mean of protection as stated in the constitution.
A02015	usa	train	We should ban the Church of Scientology	in favor of	they are nothing but a cult and manipulate their members
A02016	usa	train	We should legalize organ trade	in favor of	we need more organs than people donate so legalizing it would be a good thing
A02017	usa	train	We should legalize polygamy	against	polygamy  can lead to disharmony and jealousy within a household and the offspring of the arrangement can grow up very confused and maladjusted.
A02018	usa	train	Intelligence tests bring more harm than good	against	intelligence tests should continue to be used because they provide valuable data
A02019	usa	train	We should prohibit school prayer	in favor of	School prayer is divisive and requires children to either support religion without question or be treated as different if they do not wish to attend, which marks people out by their differences at an early age.
A02020	usa	train	We should subsidize Wikipedia	against	wikipedia can form biased opinions on topics or misinform the general public and therefore should not be subsidized
A03001	usa	train	We should introduce compulsory voting	in favor of	where compulsory voting exists, in countries like australia, participation rates are the highest in the world. this inevitably leads to more truly representative democracy.
A03002	usa	train	We should legalize prostitution	against	legalizing prostitution will further demean a woman or man and result in unnecessary violence.
A03003	usa	train	We should ban the Church of Scientology	in favor of	there are questions of it's legitimacy and whether it is a cult as well as the fact that members have to pay more to move up the levels thereby leading some to come into financial troubles due to this
A03004	usa	train	We should abolish the three-strikes laws	against	this law keeps communities safe by not letting criminals run rampant with only slaps on the wrist
A03005	usa	train	Social media brings more harm than good	in favor of	it gives people a platform to pretend, show off and to bully others. it also makes people believe that everyone else has everything they want and that their lives are perfect, leading to mental health issues.
A03006	usa	train	We should legalize cannabis	in favor of	cannabis has been shown to be safer than alcohol and less addictive.  there is no real reason to keep it an illegal substance.
A03007	usa	train	We should adopt gender-neutral language	against	we should not have to change our language to accommodate those who do not adhere to a specific gender
A03008	usa	train	We should abolish zoos	in favor of	we should abolish zoos as animals should not be kept in captivity and should be in a natural environment.
A03009	usa	train	We should ban fast food	in favor of	fast food is bad for adults and children and causes obesity and the risk of diabetes in many cases.
A03010	usa	train	We should adopt a multi-party system	in favor of	it would give people more of a choice  and provides someone for every culture to vote for
A03011	usa	train	We should ban fast food	in favor of	fast food is bad for our health and we really should ban any of it
A03012	usa	train	We should stop the development of autonomous cars	in favor of	autonomous cars will take away the jobs of thousands of people around the world by removing the function of drivers.
A03013	usa	train	We should subsidize journalism	in favor of	journalism and free expression of information and exchange of ideas is a basic human right, and subsidizing this would improve its quality and reach.
A03014	usa	train	Entrapment should be legalized	in favor of	anyone who commits a crime should be prosecuted
A03015	usa	train	We should cancel pride parades	in favor of	pride parades create a huge disturbance
A03016	usa	train	We should abolish the Olympic Games	against	Olympic Games should not be banned. They are the tissue that solidify the friendship between nations in the world and a reminder of a peaceful world which should be the world vision
A03017	usa	train	We should ban factory farming	in favor of	factory farms keep animals in tight spaces.  they are forced to live in cages and not allowed to roam as they were meant to.
A03018	usa	train	Surrogacy should be banned	in favor of	a woman giving birth to someone else's child will cause that child to grow up and not understand who their mother is.   it can lead to major depression and a very unhealthy lifestyle.
A03019	usa	train	We should abolish capital punishment	in favor of	capital punishment has been proven ineffective in reducing crime rates.
A03020	usa	train	We should close Guantanamo Bay detention camp	in favor of	Guantanamo Bay detention camp depraves detainees from their human right. Detainees are often molested and even electrocuted in there. This is  a inhumane treatment even for suspicious terrorists
A04001	usa	train	We should abolish the right to keep and bear arms	against	we should not abolish the right to bear arms because the law was set forth by our founding fathers, therefore making it an american right.
A04002	usa	train	We should subsidize space exploration	against	there are more important things to spend public funds on such as health care, housing and education.
A04003	usa	train	We should abandon the use of school uniform	in favor of	School uniforms keep children from being able to express themselves through their clothing choices.
A04004	usa	train	We should ban human cloning	in favor of	human cloning is an unnatural act that goes against the laws of nature.  it is too dangerous of an act and is something man should not be tampering with.
A04005	usa	train	Intelligence tests bring more harm than good	in favor of	some people are highly intelligent but don't do well on testing so intelligence tests can't measure a true value if it's only testing with one method.
A04006	usa	train	We should cancel pride parades	in favor of	why should homosexuals have a pride parade?heterosexuals don't have them!
A04007	usa	train	We should prohibit school prayer	against	allowing children to pray and take some quiet time in school can be beneficial for their mental health.
A04008	usa	train	We should adopt a multi-party system	in favor of	We should adopt a multi-party system as the current two party system does not fit the diverse society that it is supposed to represent.
A04009	usa	train	We should abolish intellectual property rights	in favor of	ip rights enable large corporations to have a stranglehold over creators designs and work and should be abolished
A04010	usa	train	We should subsidize journalism	against	there are many sectors need subsidizing more than journalism,  journalists already make good money, more money to them will be a waste.
A04011	usa	train	We should legalize cannabis	against	cannabis is highly addictive, studies show up to one-in10 users develop dependence over time
A04012	usa	train	Foster care brings more harm than good	in favor of	the fact that almost half of those who have gone to foster homes have been returned eventually to their birthparents, it can be a painful experience for them
A04013	usa	train	We should adopt gender-neutral language	against	we should not adopt gender neutral language because were created as male and female
A04014	usa	train	We should ban whaling	in favor of	whaling is a barbaric practice that destroys majestic animals
A04015	usa	train	We should end racial profiling	against	racial profiling is a powerful tool based on crime statistics meant to keep people in the community safe, especially if it is a high crime area.
A04016	usa	train	We should limit executive compensation	against	executives deserve the money as they do a stressful and demanding job leading large organizations that hire large number of people.
A04017	usa	train	We should adopt a zero-tolerance policy in schools	against	zero telerance policied do not address underlying causes for the behaviour that is causing the issue
A04018	usa	train	We should abandon the use of school uniform	in favor of	School uniforms are too expensive and many parents can not afford the extra expense.
A04019	usa	train	Social media brings more harm than good	in favor of	social media results in the fomo culture which is unhealthy for individuals.
A04020	usa	train	We should fight for the abolition of nuclear weapons	in favor of	Nuclear weapons should be abolished because they have to potential to cause so much destruction.
A05001	usa	train	We should abolish intellectual property rights	in favor of	ideas are free thoughts so it's not fair for one person to profit off of it
A05002	usa	train	Payday loans should be banned	in favor of	payday loans gives people who apparently not able to live paycheck by paycheck an unethically high interest-rated loan and ends up getting them in deeper debt and payday loans should be banned.
A05003	usa	train	We should end the use of economic sanctions	in favor of	economic sanctions affect poor people more than governments
A05004	usa	train	Foster care brings more harm than good	in favor of	foster care can be horrible for the child when moving from home to home and never settling down in one place.
A05005	usa	train	We should ban factory farming	in favor of	factory farming is bad for the environment and should be banned
A05006	usa	train	We should legalize organ trade	in favor of	if we legalize the organ trade we will save lives, by ensuring that more people who need an organ transplant actually get one.
A05007	usa	train	Social media brings more harm than good	in favor of	social media can be incredibly addicting and cause depression based on popularity contests. we shouldn't use it so much because it can cause suicide and cyber bullying.
A05008	usa	train	We should legalize polygamy	in favor of	Polygamy is a part of certain religions and should be respected under the first amendment.
A05009	usa	train	We should ban naturopathy	in favor of	naturopathy may have no scientific evidence.
A05010	usa	train	The use of public defenders should be mandatory	against	a person accused of a crime should have the right to pick their own defense, whether that is to pick the defender they think will be most capable or that they find makes them more comfortable.
A05011	usa	train	We should subsidize stay-at-home dads	against	if a father wants to stay home, he can, but we can't subsidize stay-at-home dads, there is no need in a modern society that has other solutions like kindergartens to help with children's needs
A05012	usa	train	We should subsidize embryonic stem cell research	in favor of	embryonic stem cell research should be subsidized because it only requires a small amount of cells because of the fast replication rate
A05013	usa	train	We should ban private military companies	in favor of	private military companies could be a danger to our national security because their motives are financial in nature which means they could act in ways that are not in our country's best interest politcally.
A05014	usa	train	We should adopt libertarianism	in favor of	libertarianism fosters a more equitable and efficient society for all
A05015	usa	train	We should abolish safe spaces	in favor of	these are usually located in universities. students need to prepare for the real world and know how to handle conflict. once they leave school they'll have no idea how to handle the constant conflict in life.
A05016	usa	train	We should stop the development of autonomous cars	against	the use of autonomous cars should result in a substantial reduction in road traffic accidents which currently are largely a result of human error.
A05017	usa	train	We should ban cosmetic surgery	in favor of	cosmetic surgery is unnecessary and dangerous.
A05018	usa	train	We should abolish the Olympic Games	in favor of	the olympic games cause turmoil and a lot of money.
A05019	usa	train	We should end affirmative action	in favor of	we should end affirmative action because it just caters to people that feel like they were discriminated against
A05020	usa	train	Holocaust denial should be a criminal offence	against	what one chooses to believe or not to believe should be at their discretion.
A05021	usa	train	We should legalize cannabis	in favor of	Legalizing marijuana would lead to a reduction in gang-related drug violence.
A05022	usa	train	We should adopt gender-neutral language	in favor of	we should adopt gender-neutral language because it avoids offending people with gender stereo-types
A05023	usa	train	We should ban algorithmic trading	in favor of	algorithmic trading should be banned as it manipulates the economy to benefit stockholders.
A05024	usa	train	We should fight urbanization	against	urbanization allows people to move away from high crime areas.
A05025	usa	train	Holocaust denial should be a criminal offence	against	everyone should have the right to their own opinion.
A05026	usa	train	Blockade of the Gaza Strip should be ended	in favor of	blockade means occupation which is illegal and should be stopped
A05027	usa	train	We should ban whaling	against	There is little difference between the whaling industry  and our farming industries; humans are entitled to hunt animals to eat them and utilize them to our benefit.
A05028	usa	train	We should ban the use of child actors	in favor of	the world of show has proven to be full of vices that in the case of children is very harmful
A05029	usa	train	The vow of celibacy should be abandoned	in favor of	there is a serious shortage of priests and this can be remedied by abandoning the vow of celibacy.
A05030	usa	train	We should prohibit women in combat	against	women have proven that they could be as good as men in many fields; who's to say they couldn't also be good soldiers?
A05031	usa	train	We should limit executive compensation	in favor of	we should limit executives earnings.  some ceo's get millions of dollars for a salary plus housing, airplanes, and even get a package to leave the company.  all this while average worker could use more.
A05032	usa	train	We should prohibit flag burning	in favor of	flag burning is a treasonous and traitorous act which should attract severe punishment.
A05033	usa	train	We should subsidize embryonic stem cell research	against	this research is very controversial and against many religions
A05034	usa	train	We should abolish the three-strikes laws	in favor of	three is an arbitrary number and may not be appropriate in some instances or for some crimes
A05035	usa	train	We should subsidize stay-at-home dads	against	there are better uses of money than to subsidize non working men.
A05036	usa	train	We should end mandatory retirement	in favor of	the loss of experience and knowledge from mandatory retirement is costly to businesses
A05037	usa	train	Intelligence tests bring more harm than good	in favor of	intelligence tests can prevent someone from pursuing their passion which they may be able to achieve with hard work
A05038	usa	train	Assisted suicide should be a criminal offence	against	if someone is in extreme pain why make them suffer? this is not criminal
A05043	usa	train	We should fight urbanization	in favor of	urbanization is not good for nature & increases pollution & climate change
A05045	usa	train	We should subsidize Wikipedia	against	subsidizing wikipedia can cause it to provide biased information
A05048	usa	train	We should ban fast food	against	fast food is sometimes the only way poor people can feed their families cheaply. if you ban it then you are taking away someone's only meal.
A05049	usa	train	We should prohibit school prayer	in favor of	prayer in schools violates a person's right to follow whatever religion they choose.
A05050	usa	train	We should introduce compulsory voting	against	compulsory voting goes against people's liberties and freedoms.
A05052	usa	train	We should end the use of economic sanctions	against	economic sanctions can assist in deterring deadly threats against our nation
A05053	usa	train	We should introduce compulsory voting	in favor of	compulsory voting makes for more informed voters
A05054	usa	train	We should adopt libertarianism	against	there are so many people in the world we all have to appreciate that we need to adopt certain rules and etiquette which everyone follows, if everyone pleased themselves no one would help each other.
A05055	usa	train	We should end racial profiling	in favor of	if i wear blue jeans and a tie dye shirt that doesn't make me a dope smoking hippie. that sounds as stupid as saying because someone is black they must be a criminal.
A05056	usa	train	We should close Guantanamo Bay detention camp	in favor of	guantanamo bay is outdated and barbaric
A05057	usa	train	We should subsidize Wikipedia	against	subsidizing wikipedia could be a back gateway to some form of governmental control, debasing the validity of the articles and information provided.
A05058	usa	train	We should cancel pride parades	against	pride parades encourage people to claim the rights and freedoms they are entitled to
A05059	usa	train	We should cancel pride parades	against	pride parades can show everyone that we tolerate everyone
A05062	usa	train	Entrapment should be legalized	against	entrapment is a deceptive method of catching criminals and wastes time and resources that would be better put to use catching active criminals.
A05063	usa	train	We should ban factory farming	in favor of	it should be banned so that it doesn't take away our farms and will cause more global warming
A05064	usa	train	We should abolish zoos	against	zoos do a lot of conservation work and have successfully bred animals which were on the verge of extinction.
A05065	usa	train	We should abandon marriage	against	We should not abandon marriage since it will increase  single parenting and create unstable households for children
A05066	usa	train	Assisted suicide should be a criminal offence	in favor of	Assisted suicide is a criminal offence as it centers on the intentional death of a human being.
A05067	usa	train	We should ban cosmetic surgery for minors	in favor of	cosmetic surgery for minors should be banned because they are not finished growing no do they have a mature enough background to make a sound decision towards this procedure.
A05069	usa	train	We should adopt a multi-party system	against	the two-party system is cheaper and easier to operate that any multi-party system
A05071	usa	train	We should ban human cloning	in favor of	human cloning should be banned because it allows designer humans to be grown according to the parents wishes.
A05072	usa	train	We should abandon marriage	in favor of	marriage is a religious institution and can offend the non-religious
A05073	usa	train	We should ban whaling	in favor of	whaling is inhumane and unnecessary and killing the whale population.
A05074	usa	train	We should adopt an austerity regime	in favor of	an austerity regime will help to reduce the deficit of the country
