Argument ID	Personal focus	Social focus
A01001	0	1
A01002	0	1
A01003	1	0
A01004	1	0
A01005	1	0
A01006	1	1
A01007	0	1
A01008	1	1
A01009	0	1
A01010	1	1
A01011	1	1
A01012	0	1
A01013	1	0
A01014	0	1
A01015	1	1
A01016	0	1
A01017	1	1
A01018	1	1
A01019	1	1
A01020	1	0
A02001	1	1
A02002	1	0
A02003	1	1
A02004	0	1
A02005	1	1
A02006	1	0
A02007	0	1
A02008	0	1
A02009	0	1
A02010	0	1
A02011	0	1
A02012	1	1
A02013	0	1
A02014	1	1
A02015	1	0
A02016	0	1
A02017	0	1
A02018	0	1
A02019	0	1
A02020	1	1
A03001	0	1
A03002	0	1
A03003	1	1
A03004	0	1
A03005	0	1
A03006	0	1
A03007	1	1
A03008	0	1
A03009	1	0
A03010	1	1
A03011	1	0
A03012	0	1
A03013	1	0
A03014	0	1
A03015	0	1
A03016	0	1
A03017	1	1
A03018	1	0
A03019	0	1
A03020	1	1
A04001	0	1
A04002	1	0
A04003	1	0
A04004	0	1
A04005	1	1
A04006	0	1
A04007	1	1
A04008	1	1
A04009	1	0
A04010	0	1
A04011	1	0
A04012	1	1
A04013	0	1
A04014	0	1
A04015	0	1
A04016	1	0
A04017	0	1
A04018	1	0
A04019	1	0
A04020	0	1
A05001	1	1
A05002	1	1
A05003	1	1
A05004	1	1
A05005	0	1
A05006	1	1
A05007	1	1
A05008	1	1
A05009	1	1
A05010	1	0
A05011	0	1
A05012	0	1
A05013	0	1
A05014	0	1
A05015	1	1
A05016	0	1
A05017	1	1
A05018	1	1
A05019	0	1
A05020	1	1
A05021	0	1
A05022	1	1
A05023	0	1
A05024	1	1
A05025	1	1
A05026	1	1
A05027	1	0
A05028	1	1
A05029	1	1
A05030	1	1
A05031	1	1
A05032	0	1
A05033	0	1
A05034	0	1
A05035	1	1
A05036	1	1
A05037	1	0
A05038	1	0
A05043	0	1
A05045	0	1
A05048	1	1
A05049	1	1
A05050	1	0
A05052	0	1
A05053	1	1
A05054	0	1
A05055	0	1
A05056	0	1
A05057	1	1
A05058	1	1
A05059	1	1
A05062	0	1
A05063	1	1
A05064	0	1
A05065	1	1
A05066	1	1
A05067	1	1
A05069	1	1
A05071	0	1
A05072	1	1
A05073	0	1
A05074	1	1
A05075	1	1
A05076	1	0
A05077	1	0
A05078	1	1
A05079	0	1
A05080	1	0
A05081	0	1
A05082	1	1
A05083	1	1
A05084	1	1
A05086	1	1
A05087	1	0
A05088	1	0
A05090	1	0
A05091	1	0
A05092	1	0
A05093	1	0
A05095	1	1
A05096	1	1
A05097	0	1
A05098	1	1
A05099	0	1
A05100	1	1
A06001	0	1
A06002	0	1
A06003	1	0
A06004	1	0
A06005	1	0
A06006	0	1
A06007	1	1
A06008	0	1
A06010	1	0
A06011	1	1
A06012	1	0
A06013	0	1
A06014	0	1
A06015	1	0
A06016	0	1
A06019	0	1
A06020	1	1
A07001	1	1
A07002	1	1
A07003	1	1
A07004	1	1
A07008	1	1
A07009	1	1
A07010	0	1
A07011	1	1
A07012	1	1
A07013	1	1
A07014	0	1
A07015	1	1
A07016	0	1
A07018	1	1
A07019	1	1
A07020	0	1
A07021	1	1
A07022	0	1
A07023	1	1
A07024	1	1
A07025	1	1
A07026	1	1
A07027	1	1
A07028	1	1
A07029	1	1
A07030	0	1
A07031	1	0
A07032	1	1
A07033	1	1
A07034	1	1
A07035	1	1
A07037	1	1
A07038	1	1
A07040	1	1
A07042	0	1
A07043	1	1
A07044	0	1
A07045	1	1
A07046	1	1
A07048	1	1
A07049	1	1
A07050	1	0
A07051	1	1
A07052	1	1
A07053	1	1
A07054	1	1
A07055	1	1
A07056	0	1
A07058	1	1
A07059	1	1
A07060	1	1
A07061	1	1
A07062	1	1
A07063	0	1
A07065	0	1
A07066	1	1
A07068	1	0
A07069	1	1
A07070	1	1
A07071	1	1
A07073	1	1
A07074	1	1
A07075	1	1
A07076	1	1
A07077	1	1
A07078	1	1
A07079	1	1
A07080	0	1
A07081	1	1
A07082	0	1
A07084	0	1
A07085	1	1
A07086	1	1
A07087	1	1
A07088	1	1
A07089	1	0
A07090	1	1
A07092	1	1
A07093	1	1
A07094	1	0
A07096	1	1
A07097	1	1
A07098	1	1
A07099	1	1
A07100	0	1
A08001	0	1
A08002	1	1
A08003	1	1
A08004	1	1
A08005	1	1
A08007	1	0
A08008	0	1
A08009	0	1
A08011	0	1
A08012	0	1
A08013	1	1
A08014	0	1
A08016	1	0
A08018	0	1
A08019	1	1
A08020	0	1
A09001	1	1
A09002	1	0
A09003	1	1
A09004	1	0
A09005	1	1
A09006	1	1
A09007	1	1
A09008	1	0
A09009	1	1
A09011	0	1
A09012	0	1
A09013	1	1
A09015	1	1
A09016	1	1
A09017	1	1
A09019	0	1
A09020	0	1
A09021	1	1
A09022	0	1
A09023	0	1
A09024	1	0
A09026	1	1
A09027	1	1
A09028	1	1
A09029	0	1
A09030	1	1
A09031	1	1
A09032	1	1
A09035	1	1
A09036	1	1
A09037	1	1
A09038	0	1
A09040	0	1
A09041	0	1
A09042	1	1
A09043	1	1
A09044	1	1
A09045	1	1
A09046	1	1
A09047	1	1
A09048	1	1
A09049	1	1
A09050	0	1
A09051	0	1
A09052	1	1
A09053	1	1
A09054	1	1
A09055	1	1
A09056	1	1
A09057	1	1
A09058	0	1
A09059	1	1
A09060	1	1
A09063	0	1
A09064	1	0
A09065	1	0
A09066	1	0
A09067	1	1
A09068	1	0
A09070	1	1
A09071	1	1
A09072	1	1
A09073	1	1
A09074	1	1
A09075	1	1
A09076	1	1
A09078	1	1
A09079	1	1
A09080	1	1
A09082	1	1
A09083	1	1
A09084	1	1
A09085	1	1
A09086	1	1
A09087	0	1
A09089	1	1
A09090	0	1
A09091	1	1
A09092	1	1
A09093	1	1
A09094	1	1
A09095	1	1
A09096	1	1
A09097	1	1
A10001	0	1
A10002	1	1
A10003	1	1
A10004	1	1
A10005	1	0
A10006	0	1
A10007	1	0
A10008	0	1
A10009	1	1
A10010	0	1
A10012	0	1
A10013	1	1
A10014	0	1
A10015	0	1
A10017	1	0
A10018	1	1
A10019	1	1
A10020	0	1
A12002	1	1
A12004	1	1
A12005	0	1
A12006	1	1
A12007	0	1
A12008	0	1
A12009	1	1
A12010	1	1
A12011	1	1
A12013	0	1
A12014	1	0
A12015	1	0
A12016	1	1
A12017	1	1
A12019	1	0
A12020	1	1
A12021	1	1
A12024	1	1
A12025	0	1
A12026	1	1
A12027	1	0
A12028	1	1
A12029	1	1
A12030	1	0
A12031	0	1
A12032	1	1
A12033	0	1
A12034	1	1
A12035	1	1
A12036	1	1
A12037	0	1
A12038	0	1
A12039	1	1
A12041	1	1
A12042	1	1
A12043	1	0
A12045	1	1
A12046	1	1
A12047	1	1
A12048	1	1
A12049	1	0
A12050	0	1
A12051	0	1
A12053	1	1
A12054	1	1
A12055	1	1
A12056	0	1
A12057	1	1
A12058	1	1
A12059	1	1
A12060	1	0
A12062	1	1
A12063	1	1
A12064	1	1
A12065	0	1
A12066	1	1
A12067	0	1
A12070	0	1
A12071	0	1
A12072	1	0
A12073	0	1
A12074	1	1
A12075	1	0
A12076	0	1
A12078	1	1
A12080	1	1
A12081	1	1
A12082	1	0
A12083	1	0
A12084	1	1
A12086	1	1
A12087	1	1
A12088	0	1
A12089	0	1
A12091	1	1
A12092	1	1
A12093	0	1
A12094	1	0
A12095	1	1
A12096	1	1
A12097	1	1
A12098	1	1
A12099	1	0
A12100	1	1
A12101	0	1
A12102	1	1
A12103	1	1
A12104	1	1
A12105	1	1
A12106	1	1
A12107	1	1
A12109	1	1
A12110	0	1
A12111	1	1
A12112	1	1
A12113	1	1
A12114	0	1
A12116	1	1
A12117	1	1
A12118	0	1
A12119	1	0
A12120	0	1
A12122	1	1
A12123	1	1
A12124	1	1
A12125	1	1
A12126	0	1
A12127	1	1
A12128	1	1
A12129	1	1
A12130	0	1
A12131	1	0
A12132	1	1
A12133	1	1
A12134	0	1
A12135	0	1
A12136	0	1
A12137	1	1
A12139	1	1
A12140	1	1
A12141	0	1
A12142	0	1
A12144	1	0
A12146	1	1
A12147	1	1
A12148	1	0
A12153	1	1
A12155	0	1
A12156	1	1
A12157	1	1
A12158	0	1
A12159	0	1
A12160	0	1
A12161	1	1
A12162	1	0
A12163	1	0
A12164	0	1
A12165	1	1
A12166	1	1
A12167	1	1
A12168	1	1
A12170	1	1
A12171	0	1
A12173	1	1
A12174	0	1
A12175	1	1
A12176	1	1
A12177	1	0
A12178	1	0
A12179	1	1
A12180	1	1
A12181	1	1
A12182	1	1
A12184	1	1
A12185	0	1
A12187	0	1
A12188	0	1
A12190	0	1
A12191	1	1
A12192	1	1
A12193	0	1
A12194	1	1
A12195	1	1
A12197	1	1
A12198	1	1
A12201	1	1
A12202	1	1
A12204	0	1
A12205	0	1
A12206	0	1
A12208	1	0
A12209	0	1
A12210	1	1
A12211	1	1
A12212	1	1
A12214	1	1
A12215	0	1
A12217	0	1
A12218	0	1
A12219	0	1
A12220	1	0
A12221	1	1
A12222	1	1
A12223	0	1
A12224	1	1
A12225	1	1
A12226	1	1
A12228	1	1
A12229	1	1
A12230	1	1
A12231	0	1
A12232	1	1
A12236	1	0
A12237	1	1
A12238	1	0
A12239	1	1
A12240	1	1
A12241	1	1
A12243	1	1
A12244	1	1
A12246	1	1
A12247	1	1
A12248	1	1
A12249	1	1
A12251	1	0
A12252	1	0
A12253	0	1
A12254	1	0
A12255	1	1
A12256	1	1
A12257	0	1
A12258	1	1
A12259	1	1
A12260	1	1
A12261	1	1
A12262	1	1
A12263	0	1
A12265	1	1
A12266	1	1
A12267	1	1
A12268	1	1
A12269	0	1
A12270	0	1
A12271	0	1
A12273	1	1
A12274	1	1
A12275	0	1
A12276	1	0
A12277	1	1
A12278	0	1
A12279	1	1
A12280	1	0
A12281	1	1
A12282	1	1
A12283	1	0
A12284	1	1
A12286	1	1
A12287	1	1
A12288	1	0
A12289	0	1
A12290	0	1
A12292	1	0
A12293	1	1
A12295	1	0
A12296	1	1
A12297	0	1
A12298	1	1
A12299	0	1
A12300	1	1
A12301	0	1
A12302	0	1
A12303	1	1
A12304	1	1
A12305	1	1
A12306	1	1
A12307	1	1
A12308	1	1
A12309	1	1
A12310	1	1
A12311	1	1
A12313	1	1
A12315	0	1
A12316	1	1
A12317	1	1
A12318	1	1
A12319	1	1
A12320	1	1
A12321	1	1
A12322	1	1
A12323	1	1
A12324	1	1
A12325	1	1
A12326	1	1
A12327	1	1
A12328	1	1
A12329	1	1
A12330	1	1
A12332	1	1
A12333	0	1
A12334	1	1
A12335	0	1
A12336	1	1
A12337	0	1
A12338	0	1
A12340	0	1
A12341	0	1
A12343	1	1
A12344	0	1
A12345	0	1
A12347	1	1
A12348	1	1
A12349	1	1
A12351	1	0
A12352	1	1
A12353	0	1
A12354	0	1
A12355	1	1
A12356	1	1
A12357	1	1
A12358	1	1
A12359	1	1
A12360	1	1
A12363	1	1
A12364	1	0
A12365	1	1
A12366	0	1
A12367	1	1
A12368	1	1
A12369	1	1
A12370	1	1
A12372	0	1
A12374	0	1
A12376	1	1
A12377	0	1
A12379	0	1
A12380	0	1
A12381	1	1
A12385	1	1
A12386	1	1
A12387	1	1
A12388	1	1
A12389	1	1
A12390	1	0
A12391	1	1
A12392	1	1
A12393	1	1
A12394	1	1
A12396	1	1
A12397	0	1
A12398	1	1
A12400	1	1
A12402	1	1
A12403	1	1
A12404	1	0
A12405	1	1
A12406	1	1
A12407	1	1
A12408	1	1
A12409	0	1
A12410	1	1
A12411	1	1
A12412	1	1
A12413	1	1
A12414	0	1
A12415	1	1
A12416	1	1
A12417	1	0
A12418	0	1
A12419	0	1
A12420	1	1
A12421	1	1
A12422	0	1
A12423	1	1
A12424	1	1
A12425	1	1
A12426	0	1
A12427	0	1
A12428	1	1
A12429	1	0
A12431	1	1
A12432	1	1
A12433	1	1
A12434	0	1
A12435	0	1
A12436	0	1
A12437	1	1
A12438	1	1
A12439	1	1
A12440	1	1
A12441	1	1
A12442	1	1
A12443	1	1
A12444	0	1
A12445	1	1
A12446	1	0
A12447	1	1
A12448	1	0
A12450	0	1
A12451	1	1
A12452	0	1
A12453	1	1
A12454	1	0
A12456	1	0
A12457	1	0
A12458	0	1
A12459	0	1
A12460	1	1
A12461	1	0
A12462	0	1
A12464	0	1
A12465	0	1
A12466	1	1
A12467	1	0
A12468	1	1
A12469	1	0
A12470	1	0
A12472	0	1
A12473	1	1
A12474	1	1
A12475	1	1
A12476	0	1
A12477	1	1
A12478	1	1
A12479	1	0
A12481	1	1
A12484	1	1
A12485	0	1
A12487	1	1
A12488	1	1
A12489	1	1
A12490	1	1
A12491	1	1
A12492	1	1
A12494	1	1
A12496	1	1
A12497	1	1
A12498	1	1
A12499	1	0
A12500	1	1
A13001	1	1
A13002	1	1
A13003	1	0
A13004	1	1
A13005	0	1
A13006	1	0
A13007	1	1
A13008	0	1
A13009	0	1
A13011	1	0
A13012	1	0
A13013	0	1
A13014	0	1
A13017	1	1
A13018	0	1
A13019	0	1
A13020	1	0
A14001	0	1
A14002	1	1
A14003	1	1
A14005	1	1
A14006	1	1
A14007	1	1
A14008	1	1
A14010	1	1
A14011	1	0
A14013	0	1
A14014	1	1
A14015	0	1
A14017	1	0
A14018	1	1
A14019	0	1
A14020	1	1
A15001	1	0
A15002	1	0
A15003	1	0
A15004	1	1
A15006	1	1
A15007	1	1
A15008	1	1
A15009	1	1
A15010	1	0
A15011	0	1
A15013	1	1
A15014	1	1
A15015	0	1
A15017	1	1
A15019	1	0
A15020	1	0
A17002	1	1
A17003	1	1
A17004	1	1
A17006	1	1
A17007	1	1
A17008	1	1
A17009	1	0
A17011	1	1
A17013	1	1
A17014	1	1
A17015	1	1
A17016	1	1
A17017	1	1
